iter	Passed	Remaining
0	24	24177
1	38	19273
2	42	14269
3	54	13670
4	66	13138
5	81	13495
6	123	17505
7	130	16182
8	137	15123
9	147	14601
10	154	13915
11	168	13883
12	178	13570
13	188	13252
14	195	12866
15	203	12486
16	212	12263
17	217	11889
18	225	11660
19	233	11426
20	239	11162
21	244	10851
22	249	10598
23	255	10383
24	260	10172
25	269	10109
26	273	9863
27	280	9726
28	283	9498
29	289	9355
30	292	9153
31	302	9142
32	307	9001
33	315	8965
34	320	8829
35	323	8655
36	329	8572
37	335	8488
38	340	8380
39	352	8469
40	359	8415
41	364	8304
42	371	8263
43	377	8195
44	386	8197
45	394	8191
46	400	8113
47	408	8105
48	417	8097
49	424	8069
50	429	7992
51	434	7929
52	440	7868
53	445	7803
54	449	7731
55	454	7664
56	459	7602
57	464	7546
58	469	7494
59	474	7428
60	481	7405
61	485	7347
62	490	7293
63	495	7246
64	498	7177
65	504	7137
66	508	7083
67	514	7054
68	519	7002
69	523	6955
70	527	6908
71	532	6858
72	538	6839
73	543	6803
74	547	6751
75	553	6727
76	557	6684
77	563	6659
78	567	6620
79	571	6574
80	577	6551
81	582	6520
82	587	6491
83	592	6466
84	598	6439
85	601	6395
86	607	6370
87	611	6333
88	615	6303
89	620	6269
90	624	6239
91	629	6217
92	634	6189
93	638	6149
94	641	6110
95	645	6077
96	648	6037
97	652	6009
98	657	5983
99	665	5985
100	670	5965
101	674	5933
102	678	5907
103	685	5903
104	690	5883
105	695	5862
106	700	5843
107	710	5869
108	718	5870
109	723	5853
110	729	5841
111	735	5831
112	741	5820
113	747	5805
114	751	5786
115	757	5770
116	762	5752
117	767	5737
118	772	5717
119	786	5765
120	796	5789
121	807	5810
122	813	5801
123	821	5804
124	831	5820
125	834	5788
126	839	5768
127	842	5741
128	848	5730
129	852	5703
130	868	5758
131	875	5757
132	881	5746
133	887	5736
134	891	5714
135	896	5696
136	906	5710
137	911	5693
138	915	5669
139	921	5658
140	924	5632
141	930	5624
142	936	5612
143	940	5590
144	944	5572
145	949	5554
146	957	5557
147	963	5544
148	967	5525
149	971	5506
150	976	5489
151	980	5472
152	986	5461
153	990	5441
154	1002	5463
155	1018	5511
156	1041	5591
157	1072	5714
158	1076	5695
159	1081	5678
160	1086	5662
161	1089	5637
162	1093	5613
163	1097	5595
164	1102	5581
165	1108	5567
166	1112	5550
167	1116	5528
168	1120	5507
169	1124	5488
170	1128	5471
171	1132	5453
172	1137	5439
173	1142	5421
174	1147	5410
175	1151	5391
176	1155	5371
177	1158	5351
178	1162	5330
179	1167	5318
180	1172	5305
181	1178	5295
182	1184	5287
183	1188	5269
184	1193	5258
185	1197	5242
186	1201	5225
187	1206	5212
188	1211	5197
189	1215	5179
190	1219	5164
191	1227	5164
192	1240	5185
193	1254	5210
194	1272	5254
195	1286	5275
196	1296	5286
197	1308	5298
198	1319	5310
199	1328	5313
200	1337	5317
201	1348	5326
202	1357	5329
203	1367	5336
204	1377	5342
205	1385	5341
206	1391	5330
207	1399	5327
208	1411	5341
209	1425	5360
210	1438	5379
211	1449	5386
212	1460	5397
213	1472	5406
214	1482	5411
215	1487	5398
216	1495	5397
217	1503	5393
218	1510	5388
219	1519	5386
220	1526	5381
221	1533	5375
222	1542	5372
223	1547	5360
224	1555	5356
225	1562	5351
226	1570	5347
227	1577	5342
228	1584	5335
229	1593	5334
230	1600	5328
231	1608	5324
232	1616	5321
233	1623	5314
234	1631	5310
235	1642	5316
236	1650	5314
237	1662	5321
238	1672	5326
239	1681	5325
240	1690	5324
241	1701	5329
242	1705	5313
243	1709	5296
244	1718	5296
245	1726	5290
246	1735	5289
247	1745	5291
248	1755	5293
249	1765	5295
250	1774	5295
251	1779	5282
252	1789	5284
253	1800	5287
254	1811	5292
255	1820	5289
256	1828	5284
257	1837	5285
258	1847	5286
259	1857	5286
260	1870	5296
261	1884	5307
262	1899	5321
263	1911	5329
264	1925	5340
265	1936	5342
266	1946	5343
267	1955	5341
268	1964	5337
269	1969	5325
270	1979	5323
271	1992	5332
272	2003	5336
273	2014	5337
274	2039	5375
275	2053	5385
276	2063	5385
277	2073	5385
278	2082	5382
279	2095	5387
280	2107	5392
281	2117	5391
282	2128	5392
283	2139	5393
284	2153	5402
285	2164	5404
286	2172	5396
287	2185	5402
288	2197	5406
289	2208	5407
290	2216	5400
291	2227	5401
292	2238	5401
293	2244	5390
294	2252	5383
295	2260	5376
296	2268	5369
297	2276	5363
298	2286	5360
299	2295	5357
300	2306	5356
301	2316	5353
302	2325	5350
303	2332	5340
304	2339	5330
305	2348	5326
306	2358	5323
307	2368	5320
308	2377	5315
309	2380	5298
310	2388	5291
311	2396	5284
312	2403	5276
313	2413	5272
314	2421	5264
315	2429	5259
316	2437	5252
317	2446	5246
318	2455	5241
319	2462	5233
320	2471	5227
321	2482	5226
322	2491	5222
323	2499	5215
324	2509	5213
325	2524	5219
326	2541	5230
327	2550	5226
328	2561	5223
329	2571	5221
330	2581	5216
331	2591	5214
332	2603	5214
333	2613	5211
334	2623	5208
335	2634	5205
336	2645	5204
337	2656	5202
338	2665	5196
339	2674	5192
340	2684	5188
341	2694	5184
342	2705	5181
343	2713	5174
344	2719	5163
345	2728	5158
346	2739	5154
347	2747	5148
348	2756	5141
349	2763	5132
350	2774	5129
351	2782	5121
352	2790	5115
353	2800	5109
354	2810	5105
355	2820	5102
356	2830	5098
357	2839	5092
358	2847	5084
359	2857	5080
360	2866	5074
361	2875	5068
362	2884	5062
363	2895	5058
364	2905	5054
365	2918	5055
366	2930	5055
367	2941	5052
368	2952	5049
369	2967	5052
370	2978	5049
371	2987	5043
372	2998	5040
373	3006	5032
374	3015	5025
375	3025	5020
376	3050	5041
377	3059	5035
378	3068	5028
379	3078	5022
380	3090	5021
381	3101	5017
382	3111	5011
383	3121	5007
384	3129	4999
385	3138	4991
386	3148	4986
387	3159	4984
388	3169	4978
389	3179	4973
390	3189	4967
391	3198	4961
392	3207	4954
393	3216	4947
394	3229	4946
395	3241	4943
396	3253	4941
397	3263	4935
398	3274	4931
399	3283	4925
400	3293	4919
401	3302	4912
402	3311	4905
403	3319	4897
404	3328	4890
405	3337	4882
406	3345	4874
407	3352	4864
408	3360	4855
409	3367	4846
410	3377	4839
411	3385	4831
412	3391	4820
413	3399	4812
414	3409	4805
415	3418	4798
416	3428	4793
417	3445	4796
418	3461	4800
419	3474	4797
420	3483	4790
421	3491	4781
422	3500	4774
423	3508	4766
424	3517	4758
425	3525	4750
426	3533	4741
427	3541	4733
428	3550	4725
429	3558	4716
430	3566	4708
431	3575	4701
432	3584	4693
433	3592	4684
434	3600	4676
435	3608	4667
436	3615	4657
437	3622	4648
438	3630	4639
439	3639	4631
440	3647	4623
441	3656	4616
442	3664	4608
443	3672	4598
444	3680	4589
445	3688	4581
446	3695	4571
447	3701	4561
448	3711	4554
449	3719	4545
450	3726	4536
451	3733	4526
452	3741	4517
453	3750	4510
454	3756	4499
455	3764	4490
456	3771	4481
457	3780	4473
458	3788	4465
459	3797	4458
460	3806	4450
461	3814	4441
462	3821	4431
463	3830	4425
464	3837	4414
465	3844	4405
466	3852	4396
467	3860	4388
468	3869	4380
469	3878	4373
470	3886	4365
471	3894	4356
472	3901	4347
473	3910	4340
474	3919	4332
475	3926	4322
476	3932	4312
477	3939	4301
478	3947	4293
479	3955	4284
480	3962	4275
481	3971	4267
482	3979	4259
483	3987	4251
484	3995	4242
485	4003	4234
486	4011	4225
487	4019	4217
488	4028	4210
489	4037	4202
490	4062	4211
491	4071	4203
492	4082	4198
493	4092	4192
494	4102	4185
495	4111	4178
496	4121	4170
497	4129	4163
498	4137	4154
499	4145	4145
500	4154	4137
501	4164	4131
502	4173	4123
503	4185	4119
504	4195	4112
505	4206	4106
506	4218	4101
507	4228	4095
508	4237	4087
509	4244	4078
510	4253	4070
511	4262	4062
512	4272	4056
513	4282	4049
514	4293	4043
515	4304	4037
516	4315	4032
517	4324	4024
518	4335	4018
519	4343	4009
520	4354	4003
521	4362	3995
522	4372	3987
523	4379	3978
524	4388	3970
525	4395	3960
526	4401	3950
527	4410	3943
528	4418	3934
529	4430	3928
530	4441	3923
531	4449	3914
532	4458	3906
533	4467	3898
534	4475	3889
535	4483	3881
536	4491	3872
537	4499	3864
538	4507	3855
539	4516	3847
540	4524	3838
541	4531	3828
542	4540	3821
543	4550	3814
544	4560	3807
545	4568	3798
546	4576	3789
547	4584	3781
548	4591	3771
549	4599	3763
550	4606	3754
551	4615	3746
552	4623	3737
553	4630	3728
554	4639	3719
555	4646	3710
556	4655	3702
557	4662	3693
558	4670	3684
559	4678	3675
560	4685	3666
561	4693	3658
562	4701	3649
563	4709	3640
564	4716	3631
565	4724	3622
566	4734	3615
567	4742	3606
568	4752	3600
569	4762	3592
570	4768	3582
571	4777	3574
572	4786	3566
573	4796	3559
574	4804	3551
575	4812	3542
576	4819	3533
577	4830	3526
578	4838	3518
579	4846	3509
580	4854	3500
581	4861	3491
582	4868	3482
583	4874	3472
584	4883	3464
585	4891	3455
586	4897	3445
587	4903	3436
588	4911	3427
589	4919	3418
590	4926	3409
591	4934	3401
592	4941	3391
593	4950	3383
594	4957	3374
595	4965	3366
596	4974	3358
597	4981	3348
598	4988	3339
599	4998	3332
600	5004	3322
601	5014	3315
602	5021	3306
603	5028	3296
604	5036	3288
605	5045	3280
