iter	RMSE
0	1194108.133
1	1164655.825
2	1135587.015
3	1107627.041
4	1080593.621
5	1054842.909
6	1029525.062
7	1005352.48
8	981840.1609
9	959302.4103
10	937205.8014
11	916018.1553
12	895512.0062
13	875971.6141
14	857102.5497
15	839051.0577
16	819810.0989
17	801140.9074
18	783203.6487
19	765814.2135
20	749168.4101
21	732976.8368
22	717022.6141
23	701959.9143
24	687202.2164
25	673314.0517
26	659753.0864
27	646822.1277
28	634428.0679
29	621954.0846
30	610244.7899
31	599024.6126
32	588224.3649
33	577889.3188
34	567912.9746
35	558488.9027
36	549500.6939
37	540702.0913
38	532246.2967
39	524087.0627
40	516464.9297
41	508959.282
42	502109.1721
43	495038.0422
44	488616.6195
45	482322.3634
46	476344.7017
47	470929.8295
48	465289.0562
49	459945.9904
50	454863.0696
51	450080.6528
52	445485.8142
53	440984.9649
54	436766.2943
55	432976.0334
56	429103.1373
57	425560.5762
58	421956.5645
59	418173.39
60	414505.261
61	411015.0037
62	407972.7888
63	404909.4371
64	401950.6352
65	399040.7557
66	396304.9784
67	393674.4248
68	391238.3372
69	388819.1055
70	386545.1206
71	384457.3182
72	382374.5837
73	380300.319
74	378606.8832
75	376961.0443
76	375180.6991
77	373606.1836
78	372011.0836
79	370540.1853
80	369321.104
81	367869.9995
82	366604.8221
83	365458.6395
84	364222.7203
85	363090.8186
86	361928.9587
87	360847.946
88	360208.1742
89	359246.1795
90	358244.0892
91	357385.5135
92	356491.8625
93	355551.4804
94	354650.5486
95	353878.7241
96	353112.391
97	352401.1608
98	351650.3487
99	350945.1169
100	350273.7752
101	349603.1099
102	348961.6159
103	348420.0278
104	347804.5494
105	347184.2468
106	346932.9231
107	346396.3453
108	345891.7855
109	345385.2356
110	344948.9045
111	344499.5461
112	344018.8023
113	343672.5771
114	343270.1634
115	342948.1202
116	342588.0873
117	342196.7631
118	341870.3592
119	341590.0605
120	341244.1541
121	340919.6005
122	340616.3216
123	340312.7419
124	340028.4287
125	339810.2807
126	339555.6062
127	339314.7267
128	339018.1943
129	338764.1927
130	338494.8158
131	338292.4107
132	338002.3199
133	337753.3106
134	337475.56
135	337182.9113
136	336987.8929
137	336691.6308
138	336488.9672
139	336131.7067
140	335938.357
141	335733.1776
142	335552.0686
143	335280.2844
144	335171.4412
145	334992.7839
146	334724.1134
147	334563.557
148	334311.3506
149	334155.0629
