iter	RMSE
0	592895.7827
1	571353.286
2	550694.6718
3	532315.1168
4	514562.3596
5	498286.6159
6	482514.6595
7	468631.6333
8	455733.646
9	444434.5953
10	433511.32
11	422758.9245
12	413827.4933
13	405239.4179
14	396924.7029
15	390517.9199
16	383567.2027
17	377248.9433
18	371651.0862
19	366300.9275
20	361801.7926
21	357239.8803
22	353091.7325
23	348797.2512
24	344789.0357
25	341492.2773
26	338287.6131
27	335314.1425
28	332360.2709
29	329604.954
30	327211.7137
31	324943.8942
32	322623.2411
33	320682.287
34	318596.7499
35	316640.1003
36	315037.7852
37	313142.9905
38	311476.4725
39	310228.8067
40	308659.7975
41	307157.5437
42	305708.2394
43	304796.5349
44	303554.7042
45	302432.7648
46	301656.1901
47	300552.1462
48	299133.2601
49	298170.1247
50	297318.7133
51	296389.0433
52	295480.891
53	294827.1112
54	294151.339
55	293102.9106
56	292560.3898
57	291726.1398
58	290921.2358
59	290209.0787
60	289606.6618
61	289122.7589
62	288427.1043
63	288030.4078
64	287268.9009
65	286930.5659
66	286364.3101
67	286001.1422
68	285143.5233
69	284485.1151
70	284035.6514
71	283136.9514
72	282877.0341
73	282461.5953
74	281920.499
75	281506.747
76	280857.3481
77	280615.0313
78	280225.9623
79	279588.7285
80	279108.5439
81	278634.2682
82	278014.7566
83	277593.0809
84	277219.2096
85	276776.251
86	276504.5733
87	275973.3888
88	275511.9659
89	275196.2755
90	274966.7324
91	274574.0923
92	274204.0895
93	273960.5876
94	273713.4722
95	273369.6943
96	272801.2959
97	272352.0402
98	271769.0066
99	271507.5264
100	271066.2743
101	270764.0754
102	270226.4349
103	269938.0953
104	269728.8946
105	269395.0806
106	269136.8725
107	268679.1427
108	268439.9037
109	268105.6854
110	267797.6701
111	267613.1929
112	267340.551
113	267058.5106
114	266838.9437
115	266455.809
116	266147.7206
117	265781.4576
118	265594.8391
119	265259.9624
120	264969.3705
121	264639.1136
122	264148.1122
123	263891.7414
124	263582.801
125	263213.3107
126	262859.6852
127	262658.4079
128	262651.2126
129	262334.9573
130	262071.6325
