iter	Passed	Remaining
0	34	34049
1	52	26093
2	66	22126
3	77	19346
4	88	17673
5	101	16770
6	113	16121
7	129	16060
8	142	15692
9	154	15333
10	165	14922
11	177	14631
12	189	14375
13	201	14178
14	211	13857
15	220	13585
16	231	13372
17	243	13257
18	255	13193
19	267	13107
20	278	12972
21	291	12947
22	308	13100
23	320	13021
24	332	12971
25	344	12896
26	354	12757
27	365	12694
28	376	12602
29	395	12785
30	410	12842
31	425	12886
32	440	12903
33	454	12921
34	468	12915
35	483	12936
36	494	12876
37	505	12792
38	517	12740
39	528	12689
40	549	12846
41	566	12923
42	579	12890
43	594	12924
44	609	12927
45	626	13002
46	640	12994
47	653	12969
48	666	12930
49	678	12884
50	691	12864
51	703	12816
52	714	12774
53	727	12739
54	741	12740
55	759	12805
56	773	12790
57	785	12764
58	797	12715
59	808	12663
60	821	12645
61	833	12610
62	847	12609
63	867	12691
64	883	12707
65	894	12664
66	907	12639
67	920	12620
68	932	12586
69	945	12561
70	957	12532
71	971	12524
72	988	12549
73	1003	12562
74	1018	12564
75	1031	12545
76	1044	12516
77	1058	12514
78	1079	12581
79	1094	12587
80	1109	12582
81	1122	12570
82	1136	12558
83	1148	12520
84	1167	12564
85	1179	12530
86	1195	12543
87	1213	12572
88	1226	12555
89	1238	12526
90	1252	12515
91	1265	12492
92	1293	12614
93	1367	13179
94	1380	13146
95	1393	13118
96	1405	13087
97	1418	13057
98	1430	13023
99	1444	13000
100	1458	12981
101	1471	12958
102	1483	12915
103	1496	12890
104	1509	12863
105	1521	12831
106	1541	12864
107	1553	12830
108	1566	12805
109	1578	12769
110	1590	12735
111	1602	12703
112	1615	12678
113	1628	12655
114	1640	12621
115	1653	12598
116	1666	12575
117	1679	12552
118	1692	12526
119	1703	12489
120	1714	12455
121	1724	12413
122	1740	12408
123	1751	12374
124	1762	12335
125	1774	12310
126	1786	12280
127	1802	12278
128	1807	12203
129	1820	12185
130	1831	12148
131	1843	12125
132	1855	12093
133	1866	12063
134	1878	12033
135	1887	11992
136	1899	11965
137	1912	11947
138	1923	11912
139	1935	11886
140	1938	11809
141	1949	11778
142	1961	11754
143	1976	11752
144	1989	11729
145	1999	11695
146	2009	11658
147	2020	11632
148	2032	11606
149	2043	11577
150	2055	11558
151	2068	11537
152	2084	11539
153	2096	11518
154	2108	11493
155	2119	11465
156	2129	11434
157	2141	11412
158	2152	11385
159	2165	11366
160	2178	11353
161	2183	11294
162	2194	11269
163	2205	11243
164	2218	11225
165	2232	11215
166	2243	11190
167	2254	11163
168	2265	11138
169	2275	11111
170	2287	11091
171	2299	11069
172	2311	11047
173	2322	11023
174	2333	10998
175	2344	10976
176	2354	10950
177	2365	10924
178	2377	10904
179	2394	10907
180	2404	10881
181	2416	10860
182	2428	10840
183	2439	10819
184	2450	10795
185	2461	10770
186	2471	10747
187	2483	10726
188	2494	10702
189	2505	10681
190	2513	10644
191	2525	10626
192	2546	10647
193	2559	10635
194	2570	10611
195	2582	10593
196	2593	10571
197	2605	10552
198	2616	10530
199	2626	10507
200	2637	10485
201	2649	10466
202	2659	10441
203	2673	10430
204	2685	10413
205	2696	10394
206	2758	10568
207	2771	10552
208	2784	10539
209	2794	10512
210	2805	10491
211	2817	10471
212	2828	10451
213	2841	10437
